step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
283,CASH_OUT,20062.12,C1337085386,423.0,0.0,C258215915,0.0,20062.12,0,0
372,CASH_OUT,462491.53,C1475847911,0.0,0.0,C1801176562,1035300.87,1497792.4,0,0
21,CASH_IN,342738.79,C1395694250,1379011.74,1721750.53,C2060664104,2196142.4,1931176.75,0,0
354,CASH_OUT,40990.17,C2081897777,8239.0,0.0,C1657963478,0.0,40990.17,0,0
276,CASH_OUT,132073.53,C169085702,0.0,0.0,C1044117371,10365712.84,10497786.37,0,0
380,CASH_IN,76322.5,C1145736809,27655831.43,27732153.92,C999409522,1278370.18,1202047.68,0,0
403,CASH_OUT,242867.84,C1098585613,0.0,0.0,C219723061,577520.64,820388.48,0,0
188,CASH_OUT,5688.61,C107819986,3502.0,0.0,C884699340,1301795.18,1307483.79,0,0
253,PAYMENT,4649.77,C283543419,267646.33,262996.56,M83769303,0.0,0.0,0,0
184,CASH_OUT,22515.07,C926238512,1183.0,0.0,C216058028,0.0,22515.07,0,0
96,CASH_OUT,276255.84,C716047500,0.0,0.0,C201849215,386384.18,662640.02,0,0
637,TRANSFER,318076.55,C1946012440,0.0,0.0,C1112423132,1091956.51,1410033.06,0,0
10,CASH_OUT,104451.69,C715712839,245.0,0.0,C1293978242,28318.0,117544.87,0,0
180,TRANSFER,1815041.37,C595118760,106310.0,0.0,C1985253789,98354.69,1913396.06,0,0
16,CASH_IN,174909.44,C936857056,516070.38,690979.82,C576244244,8306241.1,8131331.66,0,0
17,CASH_OUT,58793.47,C15154366,0.0,0.0,C1562904239,6926559.03,6967073.38,0,0
139,CASH_IN,236135.54,C1979422269,657.0,236792.54,C1197127675,244340.8,8205.26,0,0
186,TRANSFER,341358.03,C692749249,0.0,0.0,C2144732006,9293462.7,9634820.73,0,0
258,CASH_OUT,135827.06,C524275452,14716.0,0.0,C327344476,549148.49,684975.55,0,0
135,CASH_IN,152190.06,C269013592,27911417.45,28063607.51,C1135869087,594998.9,442808.84,0,0
131,CASH_OUT,242317.58,C592418558,40024.0,0.0,C1613524189,6042903.35,6285220.93,0,0
281,CASH_IN,298420.96,C764523875,844895.55,1143316.51,C1553779926,900833.71,602412.75,0,0
16,CASH_OUT,111359.07,C4607068,0.0,0.0,C909312047,148534.16,445601.43,0,0
230,CASH_OUT,54898.86,C218858513,1671.0,0.0,C693641127,0.0,54898.86,0,0
380,CASH_OUT,279390.72,C1290773003,0.0,0.0,C246373038,2219231.04,2498621.77,0,0
201,CASH_IN,140983.48,C724938178,84632.0,225615.48,C611839321,155400.41,14416.93,0,0
253,TRANSFER,348203.31,C1710429647,0.0,0.0,C1228650470,758436.56,1106639.87,0,0
298,CASH_IN,182928.91,C1998823662,4817260.35,5000189.26,C1370100102,478791.37,295862.46,0,0
329,CASH_IN,20193.38,C565422660,5495216.79,5515410.17,C352364019,133970.4,113777.01,0,0
355,TRANSFER,98923.34,C597859621,2081.0,0.0,C461319045,1401920.93,1500844.27,0,0
